job title,compaany name,local job,jobs experience,link,date offer
Data Analyst,Raya Trade & Distribution,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/E8K0q6eUGDCP-Data-Analyst-Raya-Trade-Distribution-Cairo-Egypt,13 days
Development Tech Lead,KnowledgeNet,"Cairo, Egypt ",Full TimeNot specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Engineering · Computer Engineering,https://wuzzuf.net/jobs/p/iMSth09NbWas-Development-Tech-Lead-KnowledgeNet-Cairo-Egypt,13 days
Azure Administrator,VAM Systems,"Doha, Qatar ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Azure · System Administration · Linux · AWS · Engineering,https://wuzzuf.net/jobs/p/2v9MmrEEfp7s-Azure-Administrator-VAM-Systems-Doha-Qatar,13 days
RPA & Digital Solutions Engineer,Vodafone - Egypt,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · RPA · Computer Science · Information Technology (IT) · Software Development · Software Engineering · C# · Java,https://wuzzuf.net/jobs/p/f2YJx3QAiHdZ-RPA-Digital-Solutions-Engineer-Vodafone---Egypt-Cairo-Egypt,14 days
Devops Engineer,3i Vision LTD.,"Hadayek Alahram, Giza, Egypt ",Full TimeWork From HomeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · DevOps · Computer Science · AWS · Docker · Engineering · Information Technology (IT) · Python · Java · SQL,https://wuzzuf.net/jobs/p/46xjN49fkyrL-Devops-Engineer-3i-Vision-LTD-Giza-Egypt,14 days
Data Analyst Trainee,DigitalQatalyst DMCC,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel,https://wuzzuf.net/jobs/p/9nqQzef7Wh8U-Data-Analyst-Trainee-DigitalQatalyst-DMCC-Dubai-United-Arab-Emirates,14 days
Senior Odoo Developer,Boutiqaat,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 3 - 8 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Science · Development · ERP · Information Technology (IT) · Odoo · Python,https://wuzzuf.net/jobs/p/jsQJL7AbnAPQ-Senior-Odoo-Developer-Boutiqaat-Cairo-Egypt,14 days
Data Analyst,Raya Holding for Financial Investments,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/3dVHuZthIjzM-Data-Analyst-Raya-Holding-for-Financial-Investments-Cairo-Egypt,14 days
"Business Analyst, Lastmile Programs",Amazon Group,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · software development · sql · analysis · business analysis · engineering,https://wuzzuf.net/jobs/p/cTkguyx15E9Q-Business-Analyst-Lastmile-Programs-Amazon-Group-Cairo-Egypt,15 days
Senior Devops Engineer { Odoo System},Ejadtech,"Dokki, Giza, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Kubernetes · Jenkins · Python · Docker · Git · AWS · Odoo,https://wuzzuf.net/jobs/p/rnyRbNK1QOZv-Senior-Devops-Engineer-Odoo-System-Ejadtech-Giza-Egypt,15 days
Software Development Team Lead,OdooTec,"New Cairo, Cairo, Egypt ",Full TimeManager · 5+ Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo,https://wuzzuf.net/jobs/p/LBFhcCYczn5V-Software-Development-Team-Lead-OdooTec-Cairo-Egypt,16 days
Senior Odoo Developer,Confidential,"Alibrahimiyyah, Alexandria, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · Project/Program Management · Computer Science · PostgreSQL · Programming · Python · Software Development,https://wuzzuf.net/jobs/p/AyAOxuIwQpXB-Senior-Odoo-Developer-Alexandria-Egypt,18 days
Odoo Developer,Confidential,"Cairo, Egypt ",Full TimeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ERP · CSS · HTML · Information Technology (IT) · JavaScript · jQuery · Odoo,https://wuzzuf.net/jobs/p/zeESzSpls956-Odoo-Developer-Cairo-Egypt,18 days
Linux Web/System Engineer,Misr Technology Services,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Linux · Information Technology (IT) · Computer Science · System Administration · MySQL · Engineering · Python,https://wuzzuf.net/jobs/p/zkjkNy4DBqZj-Linux-WebSystem-Engineer-Misr-Technology-Services-Cairo-Egypt,18 days
Data Scientist,Atribs Metscon,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/H8MX6JFuRlAd-Data-Scientist-Atribs-Metscon-Abu-Dhabi-United-Arab-Emirates,19 days
AWS DevOps Engineer,SellAnyCar.com,"Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · AWS · Linux · Docker · Software Development,https://wuzzuf.net/jobs/p/LyQhKxTaSeZx-AWS-DevOps-Engineer-SellAnyCar-com-Dubai-United-Arab-Emirates,19 days
Junior/Mid Full Stack Engineer (PHP Laravel),Convertedin,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · Software Engineering · Full Stack · Engineering,https://wuzzuf.net/jobs/p/9dprpdVCmdtm-JuniorMid-Full-Stack-Engineer-PHP-Laravel-Convertedin-Cairo-Egypt,19 days
Senior Odoo developer,Confidential,"Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Development · Odoo Development · Odoo · Python · Linux · Computer Science · CSS,https://wuzzuf.net/jobs/p/RvRhP3lAzVl5-Senior-Odoo-developer-Giza-Egypt,20 days
Principal Backend Engineer,Alpheya,"Dubai, United Arab Emirates ",Full TimeNot specified · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Engineering · Software Development · Engineering · SQL · Backend,https://wuzzuf.net/jobs/p/kusadLsPetT8-Principal-Backend-Engineer-Alpheya-Dubai-United-Arab-Emirates,20 days
Applied Scientist,Microsoft,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · computer science · python · information technology (it) · machine learning · content,https://wuzzuf.net/jobs/p/znVFe6x7WL9I-Applied-Scientist-Microsoft-Cairo-Egypt,20 days
IT Senior Data Engineer,Gulf International Bank - Other locations,"Khobar, Saudi Arabia ",Full TimeExperienced · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software Engineering · Software Development · CCNA,https://wuzzuf.net/jobs/p/vILiCDLCoK7z-IT-Senior-Data-Engineer-Gulf-International-Bank---Other-locations-Khobar-Saudi-Arabia,21 days
AI Engineer,Ewa,"Cairo, Egypt ",Full TimeSenior Management · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Engineering · Computer Science · Machine Learning · Python · TensorFlow · Java,https://wuzzuf.net/jobs/p/IUYiEB8jWm8w-AI-Engineer-Ewa-Cairo-Egypt,20 days
Data Classification Engineer - Titus,Help AG,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · SQL · Python · Software Development,https://wuzzuf.net/jobs/p/xX0S3ncuxW1J-Data-Classification-Engineer---Titus-Help-AG-Riyadh-Saudi-Arabia,20 days
Senior Devops Engineer,Octane solutions,"Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Automation · AWS · Cloud · Computer Science · Docker · Engineering · Information Technology (IT),https://wuzzuf.net/jobs/p/NjGAm8qVHXwK-Senior-Devops-Engineer-Octane-solutions-Cairo-Egypt,21 days
Machine Learning Engineer,Block Gemini,"Cairo, Egypt ","Full TimeExperienced · 5 - 12 Yrs of Exp · IT/Software Development · AI · Machine Learning · NLP · Natural Language Processing (NLP) · Python · TensorFlow · ""R""",https://wuzzuf.net/jobs/p/dFX9BgcnLm4C-Machine-Learning-Engineer-Block-Gemini-Cairo-Egypt,22 days
HR Data Analyst,Q-Express Documents Transport - G25,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel,https://wuzzuf.net/jobs/p/1YH9Nxb4n9oU-HR-Data-Analyst-Q-Express-Documents-Transport---G25-Dubai-United-Arab-Emirates,25 days
"Learning & Development Coordinator Human Resources · JA The Resort, Dubai",JA Resorts & Hotels,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,https://wuzzuf.net/jobs/p/0IW3c6tOvc7x-Learning-Development-Coordinator-Human-Resources-·-JA-The-Resort-Dubai-JA-Resorts-Hotels-Dubai-United-Arab-Emirates,25 days
Data Analyst,AECOM,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/In9BFIMdoJwh-Data-Analyst-AECOM-Riyadh-Saudi-Arabia,25 days
